spoergsmaal,svar,svar mul a,svar mul b,svar mul c,emne
Hvornår er en trekant spidsvinklet,Alle vinkler under 90 grader,alle vinkler under 90 grader,en vinkel over 90 grader,en vinkel er under 90 grader,trigonometri
hvordan er tangent defineret,sin(v)/cos(v),sin(v)/cos(90),sin(v)*cos(v),cos(v)/sin(v),trigonometri
løs ligning 5x+3=15-x,x=2,x=3,x=2,x=5,ligninger
Hvad er cos(0) i grader?, 90,180,0,90,trigonometri
Hvad er funktionen for en eksponentiel graf?,f(x)=b*a^x,f(x)=b*a^2,f(x)=b*a*x,f(x)=b*a^x,funktioner
Hvad er formlen for rumfanget af en cylinder?,v=pi*r^2*h,v=pi*r^2*h,v=pi*r*2*h,v=pi*r^2+h,geometri
Hvad er formlen for arealet af en trapez?,A=1/2*(a+c)*h,A=1/2*(a+c)*h,A=2*(a+c)*h,A=1/2*(a+c)*g,geometri
Hvad er formlen for en andengradsligning?,0=ax^2+bx+c,0=ax^2*bx+c,0=ax^2+bx+c,0=ax^2*bx*c,funktioner
hvad er 10^5?,100000,10000,1000000,100000,potenser
Hvad er sinus på en enhedscirkel?,retningspunktets y koordinat, retningspunktets x koordinat,retningspunktets y koordinat, ingenting,trigonometri
